,precision,recall,f1-score,support
agriculture,0.6729241877256318,0.5098468271334792,0.5801431683784625,1828.0
artisinal_mine,0.23333333333333334,0.15217391304347827,0.18421052631578946,46.0
bare_ground,0.0,0.0,0.0,145.0
blooming,0.0,0.0,0.0,52.0
blow_down,0.0,0.0,0.0,10.0
clear,0.8522751322751323,0.9406680682083626,0.8942926937597158,4281.0
cloudy,0.6177884615384616,0.7717717717717718,0.6862483311081442,333.0
conventional_mine,0.0,0.0,0.0,12.0
cultivation,0.0,0.0,0.0,662.0
habitation,0.0,0.0,0.0,553.0
haze,0.6851851851851852,0.1,0.17452830188679244,370.0
partly_cloudy,0.9551569506726457,0.20018796992481203,0.331002331002331,1064.0
primary,0.9634816521893281,0.9733166189111748,0.9683741648106904,5584.0
road,0.3793103448275862,0.00946643717728055,0.018471872376154493,1162.0
selective_logging,0.0,0.0,0.0,53.0
slash_burn,0.0,0.0,0.0,35.0
water,0.4700665188470067,0.1972093023255814,0.2778505897771953,1075.0
micro avg,0.859271267562143,0.644714740805097,0.7366888381481849,17265.0
macro avg,0.34291304509378295,0.22674358285270238,0.24206599878913385,17265.0
weighted avg,0.735077864799742,0.644714740805097,0.6527819345583421,17265.0
samples avg,0.867091049382716,0.7077140810027714,0.7581081148789482,17265.0
