,precision,recall,f1-score,support
agriculture,0.0,0.0,0.0,1828.0
artisinal_mine,0.0,0.0,0.0,46.0
bare_ground,0.0,0.0,0.0,145.0
blooming,0.0,0.0,0.0,52.0
blow_down,0.0,0.0,0.0,10.0
clear,0.7078373015873016,1.0,0.8289282602381643,4281.0
cloudy,0.0,0.0,0.0,333.0
conventional_mine,0.0,0.0,0.0,12.0
cultivation,0.0,0.0,0.0,662.0
habitation,0.0,0.0,0.0,553.0
haze,0.0,0.0,0.0,370.0
partly_cloudy,0.0,0.0,0.0,1064.0
primary,0.9232804232804233,1.0,0.9601100412654745,5584.0
road,0.0,0.0,0.0,1162.0
selective_logging,0.0,0.0,0.0,53.0
slash_burn,0.0,0.0,0.0,35.0
water,0.0,0.0,0.0,1075.0
micro avg,0.8155588624338624,0.5713871995366349,0.6719798371990054,17265.0
macro avg,0.09594810146280734,0.11764705882352941,0.10523754714727288,17265.0
weighted avg,0.4741297058611712,0.5713871995366349,0.516066976687286,17265.0
samples avg,0.8155588624338624,0.6246185279667422,0.6876052427143696,17265.0
