,precision,recall,f1-score,support
agriculture,0.846252402306214,0.7226477024070022,0.7795809973443494,1828.0
artisinal_mine,0.8823529411764706,0.6521739130434783,0.75,46.0
bare_ground,0.5862068965517241,0.11724137931034483,0.19540229885057472,145.0
blooming,0.0,0.0,0.0,52.0
blow_down,0.0,0.0,0.0,10.0
clear,0.9563774300616406,0.9423032001868722,0.9492881515472409,4281.0
cloudy,0.8263473053892215,0.8288288288288288,0.8275862068965517,333.0
conventional_mine,1.0,0.4166666666666667,0.5882352941176471,12.0
cultivation,0.7210031347962382,0.3474320241691843,0.4689092762487258,662.0
habitation,0.8447653429602888,0.4231464737793852,0.563855421686747,553.0
haze,0.5796812749003984,0.7864864864864864,0.6674311926605505,370.0
partly_cloudy,0.8899082568807339,0.8204887218045113,0.8537897310513447,1064.0
primary,0.9747750926089257,0.9896131805157593,0.982138096507598,5584.0
road,0.8422509225092251,0.7857142857142857,0.8130008904719501,1162.0
selective_logging,0.6666666666666666,0.11320754716981132,0.1935483870967742,53.0
slash_burn,0.0,0.0,0.0,35.0
water,0.824945295404814,0.7013953488372093,0.7581699346405228,1075.0
micro avg,0.9104028108922073,0.8404286128004633,0.8740174080655363,17265.0
macro avg,0.673031350718386,0.5086673975835192,0.5524079928894456,17265.0
weighted avg,0.8979876072633789,0.8404286128004633,0.8610671136838975,17265.0
samples avg,0.9190562799193751,0.8719667265054171,0.8848025660773678,17265.0
